EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
16.036,71.915,83.035,-16.503,82.057,30.451,54.737,-10.274,-0.039,0.990,-0.212,1.251,0.244,-0.305,80.000,39763.000,1.000
11.699,67.011,85.526,-17.814,75.370,33.064,48.796,-11.184,-0.038,0.990,-0.212,1.282,0.000,-0.183,80.000,39764.000,1.000
9.275,63.566,95.271,-17.593,68.920,35.964,43.107,-9.193,-0.038,0.992,-0.209,1.190,-0.183,-0.275,80.000,39765.000,1.000
8.433,61.286,108.874,-16.492,63.896,39.520,36.858,-5.322,-0.038,0.990,-0.208,1.160,-0.305,-0.244,80.000,39766.000,1.000
8.439,59.934,123.212,-15.031,61.582,44.076,29.978,-1.510,-0.040,0.990,-0.207,1.129,-0.305,-0.275,80.000,39767.000,1.000
7.573,58.498,135.551,-14.197,61.117,49.172,22.042,-0.373,-0.040,0.989,-0.208,1.221,-0.610,-0.214,80.000,39768.000,1.000
4.705,56.060,144.718,-14.297,60.507,53.657,13.318,-3.154,-0.038,0.987,-0.207,1.099,-0.641,-0.305,80.000,39769.000,1.000
0.065,52.609,150.598,-14.817,58.384,56.283,4.978,-8.580,-0.036,0.989,-0.208,1.038,-0.763,-0.183,80.000,39770.000,1.000
-4.863,49.402,152.827,-14.804,55.063,56.602,-1.428,-13.899,-0.035,0.986,-0.209,1.007,-0.793,-0.153,80.000,39771.000,1.000
-7.620,48.692,150.951,-13.095,52.849,55.253,-3.970,-16.810,-0.033,0.987,-0.209,0.885,-0.854,-0.031,80.000,39772.000,1.000
-7.350,51.295,142.952,-10.161,52.981,52.645,-2.985,-17.202,-0.034,0.989,-0.209,0.977,-0.763,0.000,80.000,39773.000,1.000
-4.863,56.441,127.395,-7.394,55.466,48.614,-0.173,-15.892,-0.031,0.990,-0.212,1.160,-0.793,0.122,80.000,39774.000,1.000
-1.912,62.598,105.226,-6.220,59.679,42.738,2.685,-13.927,-0.030,0.990,-0.210,1.099,-0.793,0.122,80.000,39775.000,1.000
-0.050,68.345,79.680,-7.223,64.758,34.915,4.416,-12.251,-0.030,0.989,-0.210,0.977,-0.732,0.244,80.000,39776.000,1.000
0.604,72.962,55.858,-9.382,70.634,25.801,5.545,-10.818,-0.032,0.988,-0.212,0.916,-0.732,0.275,80.000,39777.000,1.000
0.028,75.302,37.359,-11.622,76.607,16.299,6.463,-9.492,-0.032,0.985,-0.208,0.793,-0.671,0.305,80.000,39778.000,1.000
-1.268,74.579,25.834,-12.795,81.941,7.775,8.001,-8.496,-0.034,0.984,-0.211,0.824,-0.671,0.366,80.000,39779.000,1.000
-2.359,70.876,20.630,-12.269,85.804,1.700,11.049,-8.734,-0.035,0.984,-0.214,0.916,-0.671,0.305,80.000,39780.000,1.000
-2.465,64.859,18.711,-10.382,86.998,-1.211,15.576,-10.424,-0.036,0.985,-0.213,0.916,-0.732,0.122,80.000,39781.000,1.000
-0.823,57.504,17.018,-7.534,85.250,-1.050,21.615,-11.571,-0.035,0.985,-0.213,0.885,-0.671,-0.031,80.000,39782.000,1.000
2.123,48.971,13.004,-4.401,80.268,1.480,28.431,-10.053,-0.039,0.985,-0.212,0.885,-0.763,-0.153,80.000,39783.000,1.000
5.889,39.677,6.678,-1.018,72.333,5.772,35.702,-5.120,-0.038,0.983,-0.213,0.702,-0.793,-0.275,80.000,39784.000,1.000
10.073,30.387,0.173,2.454,61.737,10.957,42.997,1.932,-0.034,0.985,-0.210,0.702,-0.885,-0.397,80.000,39785.000,1.000
13.708,21.142,-4.244,5.082,47.924,15.647,48.742,8.357,-0.033,0.984,-0.211,0.763,-0.946,-0.458,80.000,39786.000,1.000
15.912,11.310,-4.294,6.206,30.617,18.855,51.589,11.743,-0.032,0.987,-0.213,0.641,-0.977,-0.488,80.000,39787.000,1.000
15.618,-0.224,0.720,5.270,9.390,20.396,50.217,10.779,-0.031,0.987,-0.211,0.732,-0.946,-0.580,80.000,39788.000,1.000
12.924,-13.197,10.886,2.838,-14.667,21.165,45.274,6.522,-0.030,0.987,-0.214,0.702,-0.854,-0.610,80.000,39789.000,1.000
8.795,-26.050,25.426,0.180,-38.703,22.496,39.190,1.395,-0.029,0.986,-0.212,0.732,-0.885,-0.580,80.000,39790.000,1.000
4.026,-37.355,41.683,-1.649,-59.761,25.327,34.138,-2.931,-0.031,0.986,-0.213,0.793,-0.977,-0.702,80.000,39791.000,1.000
-0.515,-46.122,56.413,-1.844,-75.717,29.868,31.378,-5.897,-0.029,0.988,-0.214,0.824,-0.946,-0.580,80.000,39792.000,1.000
-4.852,-52.298,65.761,-0.992,-87.040,35.055,29.518,-7.797,-0.030,0.989,-0.213,0.732,-0.885,-0.580,80.000,39793.000,1.000
-8.856,-55.409,67.791,0.043,-94.702,39.195,26.654,-8.560,-0.030,0.989,-0.212,0.854,-0.793,-0.580,80.000,39794.000,1.000
-12.084,-54.334,63.289,0.816,-98.546,40.728,21.960,-8.188,-0.030,0.990,-0.211,0.854,-0.671,-0.488,80.000,39795.000,1.000
