EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
23.378,36.481,5.856,30.226,19.096,7.747,52.574,16.552,-0.027,0.919,-0.451,0.732,-0.458,0.061,73.333,30353.000,1.000
18.276,33.459,0.825,24.972,10.853,3.544,49.578,4.515,-0.026,0.918,-0.449,0.702,-0.397,0.061,73.333,30354.000,1.000
12.840,30.605,-4.129,18.889,4.098,0.028,46.670,-6.694,-0.026,0.918,-0.450,0.702,-0.519,0.061,73.333,30355.000,1.000
8.905,29.256,-6.787,14.022,0.509,-1.043,45.608,-14.689,-0.027,0.918,-0.448,0.885,-0.549,-0.031,73.333,30356.000,1.000
6.667,29.398,-6.879,10.834,-0.134,0.109,45.870,-18.871,-0.026,0.918,-0.448,0.977,-0.702,-0.031,73.333,30357.000,1.000
4.941,29.891,-5.758,8.454,0.829,2.128,46.380,-19.514,-0.029,0.918,-0.452,0.977,-0.732,0.000,73.333,30358.000,1.000
2.497,30.129,-4.695,5.957,2.238,3.929,46.079,-17.449,-0.027,0.918,-0.449,0.916,-0.793,0.061,73.333,30359.000,1.000
-1.150,30.104,-4.134,3.164,3.652,5.224,44.903,-13.232,-0.027,0.919,-0.450,0.916,-0.793,0.000,73.333,30360.000,1.000
-5.717,29.949,-4.183,0.223,4.928,5.660,42.854,-7.584,-0.029,0.919,-0.450,0.763,-0.732,0.031,73.333,30361.000,1.000
-10.394,29.897,-4.931,-2.694,6.048,4.783,39.854,-1.205,-0.028,0.920,-0.448,0.885,-0.763,-0.061,73.333,30362.000,1.000
-14.298,30.057,-6.324,-5.201,7.271,2.976,37.028,6.128,-0.025,0.921,-0.446,0.854,-0.854,-0.031,73.333,30363.000,1.000
-16.910,30.484,-8.080,-6.996,8.854,1.247,35.411,14.358,-0.026,0.922,-0.448,0.916,-0.763,0.031,73.333,30364.000,1.000
-18.082,31.309,-9.615,-7.895,10.956,0.760,35.941,23.309,-0.027,0.922,-0.448,0.916,-0.702,0.000,73.333,30365.000,1.000
-17.854,33.046,-10.093,-7.770,13.511,2.280,38.757,32.501,-0.025,0.922,-0.448,0.854,-0.824,-0.061,73.333,30366.000,1.000
-16.656,35.770,-9.276,-7.098,16.052,5.556,42.740,40.871,-0.025,0.922,-0.453,0.824,-0.854,-0.031,73.333,30367.000,1.000
-15.469,38.214,-8.343,-7.485,17.600,9.154,46.437,47.132,-0.023,0.919,-0.453,0.702,-0.793,-0.031,73.333,30368.000,1.000
-15.201,39.010,-9.003,-10.806,17.070,11.185,48.072,49.578,-0.024,0.919,-0.452,0.610,-0.793,-0.092,73.333,30369.000,1.000
-15.778,37.994,-11.591,-17.143,14.430,11.199,47.620,47.863,-0.026,0.918,-0.451,0.702,-0.732,-0.061,73.333,30370.000,1.000
-16.110,36.366,-14.448,-24.288,10.973,10.530,46.704,43.165,-0.024,0.919,-0.452,0.702,-0.854,-0.061,73.333,30371.000,1.000
-15.106,35.588,-15.389,-29.513,8.416,10.953,47.116,37.133,-0.022,0.920,-0.450,0.732,-0.885,-0.061,73.333,30372.000,1.000
-12.572,36.306,-13.462,-31.412,7.786,13.522,50.263,31.370,-0.023,0.918,-0.450,0.885,-0.854,-0.061,73.333,30373.000,1.000
-9.143,38.578,-9.237,-30.295,8.819,17.989,55.522,26.119,-0.024,0.918,-0.451,0.854,-0.702,-0.061,73.333,30374.000,1.000
-5.772,41.870,-4.078,-27.236,10.375,23.313,61.220,21.042,-0.023,0.920,-0.451,0.946,-0.793,-0.092,73.333,30375.000,1.000
-3.227,45.324,0.586,-23.428,11.147,28.157,65.305,15.651,-0.022,0.921,-0.451,0.824,-0.824,-0.092,73.333,30376.000,1.000
-1.708,48.265,3.857,-19.900,10.606,31.652,66.420,9.787,-0.024,0.921,-0.451,0.732,-0.732,-0.183,73.333,30377.000,1.000
-0.790,50.543,5.821,-17.079,9.583,34.250,65.732,4.566,-0.025,0.922,-0.453,0.793,-0.763,-0.214,73.333,30378.000,1.000
0.104,52.696,7.263,-14.854,9.338,36.992,65.066,0.935,-0.025,0.923,-0.452,0.793,-0.519,-0.275,73.333,30379.000,1.000
0.980,54.851,8.657,-12.946,10.280,40.392,65.541,-0.899,-0.024,0.922,-0.453,0.793,-0.580,-0.244,73.333,30380.000,1.000
1.242,56.388,9.717,-11.287,11.685,43.927,66.616,-1.728,-0.024,0.921,-0.453,0.763,-0.580,-0.214,73.333,30381.000,1.000
0.296,56.605,9.689,-10.134,12.592,46.454,66.756,-2.688,-0.025,0.922,-0.458,0.549,-0.610,-0.275,73.333,30382.000,1.000
-2.161,55.119,7.763,-9.908,12.555,47.045,65.534,-3.945,-0.024,0.923,-0.456,0.732,-0.671,-0.397,73.333,30383.000,1.000
-6.088,52.308,3.691,-10.918,11.600,45.351,63.129,-5.142,-0.023,0.921,-0.453,0.702,-0.671,-0.275,73.333,30384.000,1.000
-10.971,49.037,-1.657,-12.769,10.089,42.109,60.587,-4.997,-0.021,0.920,-0.451,0.641,-0.549,-0.458,73.333,30385.000,1.000
-15.928,46.351,-6.479,-14.356,8.266,38.866,58.843,-2.333,-0.022,0.922,-0.453,0.610,-0.427,-0.397,73.333,30386.000,1.000
-20.137,45.126,-8.957,-14.565,6.096,37.188,58.089,2.965,-0.021,0.921,-0.454,0.580,-0.427,-0.336,73.333,30387.000,1.000
-23.112,45.611,-8.321,-13.089,3.585,37.918,58.646,10.483,-0.019,0.922,-0.453,0.549,-0.458,-0.305,73.333,30388.000,1.000
-24.673,47.445,-5.291,-10.990,0.825,40.286,59.726,18.497,-0.022,0.920,-0.454,0.458,-0.305,-0.305,73.333,30389.000,1.000
-24.934,49.376,-1.544,-10.012,-2.021,42.333,60.034,24.786,-0.023,0.919,-0.453,0.427,-0.275,-0.275,73.333,30390.000,1.000
-24.185,50.016,1.574,-11.199,-4.826,42.253,58.421,27.620,-0.025,0.917,-0.452,0.458,-0.183,-0.122,73.333,30391.000,1.000
-22.653,49.126,3.929,-13.975,-7.321,39.841,54.694,26.638,-0.025,0.917,-0.454,0.519,-0.183,-0.122,73.333,30392.000,1.000
-20.440,47.725,6.218,-16.366,-8.983,36.855,50.545,23.292,-0.024,0.919,-0.450,0.488,-0.122,-0.244,73.333,30393.000,1.000
-17.627,47.380,8.913,-16.385,-9.563,35.344,47.214,18.809,-0.024,0.920,-0.450,0.427,-0.214,-0.214,73.333,30394.000,1.000
